[Simulation 1] generations = 11 | descendants = 57 | [1, 2, 5, 6, 8, 3, 9, 7, 7, 5, 3, 2, 0]
[Simulation 143] generations = 2 | descendants = 5 | [1, 2, 3, 0]
[Simulation 144] generations = 5 | descendants = 8 | [1, 1, 1, 2, 3, 1, 0]
[Simulation 145] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 146] generations = 0 | descendants = 0 | [1, 0]
[Simulation 147] generations = 0 | descendants = 0 | [1, 0]
[Simulation 148] generations = 0 | descendants = 0 | [1, 0]
[Simulation 149] generations = 1 | descendants = 3 | [1, 3, 0]
[Simulation 150] generations = 0 | descendants = 0 | [1, 0]
[Simulation 151] generations = 0 | descendants = 0 | [1, 0]
[Simulation 152] generations = 8 | descendants = 35 | [1, 4, 2, 3, 4, 10, 8, 3, 1, 0]
[Simulation 153] generations = 0 | descendants = 0 | [1, 0]
[Simulation 154] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 155] generations = 0 | descendants = 0 | [1, 0]
[Simulation 156] generations = 0 | descendants = 0 | [1, 0]
[Simulation 157] generations = 0 | descendants = 0 | [1, 0]
[Simulation 158] generations = 0 | descendants = 0 | [1, 0]
[Simulation 159] generations = 5 | descendants = 7 | [1, 3, 1, 1, 1, 1, 0]
[Simulation 160] generations = 0 | descendants = 0 | [1, 0]
[Simulation 161] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 162] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 163] generations = 0 | descendants = 0 | [1, 0]
[Simulation 164] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 165] generations = 5 | descendants = 10 | [1, 2, 2, 3, 2, 1, 0]
[Simulation 166] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 167] generations = 0 | descendants = 0 | [1, 0]
[Simulation 168] generations = 0 | descendants = 0 | [1, 0]
[Simulation 169] generations = 0 | descendants = 0 | [1, 0]
[Simulation 170] generations = 0 | descendants = 0 | [1, 0]
[Simulation 171] generations = 0 | descendants = 0 | [1, 0]
[Simulation 172] generations = 0 | descendants = 0 | [1, 0]
[Simulation 173] generations = 23 | descendants = 120 | [1, 1, 3, 3, 4, 5, 1, 2, 2, 8, 8, 8, 11, 4, 5, 8, 13, 11, 1, 3, 4, 5, 5, 5, 0]
[Simulation 174] generations = 16 | descendants = 131 | [1, 4, 7, 11, 11, 14, 9, 11, 8, 12, 13, 11, 5, 6, 6, 1, 2, 0]
[Simulation 175] generations = 4 | descendants = 4 | [1, 1, 1, 1, 1, 0]
[Simulation 176] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 177] generations = 0 | descendants = 0 | [1, 0]
[Simulation 178] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 179] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 180] generations = 0 | descendants = 0 | [1, 0]
[Simulation 181] generations = 0 | descendants = 0 | [1, 0]
[Simulation 182] generations = 0 | descendants = 0 | [1, 0]
[Simulation 183] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 184] generations = 15 | descendants = 69 | [1, 1, 3, 6, 4, 9, 5, 2, 1, 4, 7, 6, 12, 4, 4, 1, 0]
[Simulation 185] generations = 0 | descendants = 0 | [1, 0]
[Simulation 186] generations = 0 | descendants = 0 | [1, 0]
[Simulation 187] generations = 2 | descendants = 3 | [1, 1, 2, 0]
[Simulation 188] generations = 0 | descendants = 0 | [1, 0]
[Simulation 189] generations = 0 | descendants = 0 | [1, 0]
[Simulation 190] generations = 0 | descendants = 0 | [1, 0]
[Simulation 191] generations = 5 | descendants = 12 | [1, 2, 3, 5, 1, 1, 0]
[Simulation 192] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 193] generations = 0 | descendants = 0 | [1, 0]
[Simulation 194] generations = 2 | descendants = 4 | [1, 2, 2, 0]
[Simulation 195] generations = 11 | descendants = 37 | [1, 4, 4, 4, 3, 6, 5, 7, 1, 1, 1, 1, 0]
[Simulation 196] generations = 0 | descendants = 0 | [1, 0]
[Simulation 197] generations = 3 | descendants = 4 | [1, 1, 2, 1, 0]
[Simulation 198] generations = 0 | descendants = 0 | [1, 0]
[Simulation 199] generations = 4 | descendants = 9 | [1, 1, 4, 2, 2, 0]
[Simulation 200] generations = 3 | descendants = 7 | [1, 3, 2, 2, 0]
[Simulation 201] generations = 13 | descendants = 140 | [1, 3, 6, 10, 13, 13, 20, 18, 18, 10, 11, 9, 7, 2, 0]
[Simulation 202] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 203] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 204] generations = 6 | descendants = 17 | [1, 4, 4, 3, 3, 1, 2, 0]
[Simulation 205] generations = 3 | descendants = 4 | [1, 2, 1, 1, 0]
[Simulation 206] generations = 0 | descendants = 0 | [1, 0]
[Simulation 207] generations = 0 | descendants = 0 | [1, 0]
[Simulation 208] generations = 0 | descendants = 0 | [1, 0]
[Simulation 209] generations = 0 | descendants = 0 | [1, 0]
[Simulation 210] generations = 0 | descendants = 0 | [1, 0]
[Simulation 211] generations = 0 | descendants = 0 | [1, 0]
[Simulation 212] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 213] generations = 0 | descendants = 0 | [1, 0]
[Simulation 214] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 215] generations = 0 | descendants = 0 | [1, 0]
[Simulation 216] generations = 0 | descendants = 0 | [1, 0]
[Simulation 217] generations = 0 | descendants = 0 | [1, 0]
[Simulation 218] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 219] generations = 2 | descendants = 5 | [1, 3, 2, 0]
[Simulation 220] generations = 0 | descendants = 0 | [1, 0]
[Simulation 221] generations = 0 | descendants = 0 | [1, 0]
[Simulation 222] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 223] generations = 0 | descendants = 0 | [1, 0]
[Simulation 224] generations = 0 | descendants = 0 | [1, 0]
[Simulation 225] generations = 27 | descendants = 369 | [1, 1, 1, 1, 4, 11, 13, 13, 18, 20, 26, 26, 15, 13, 14, 15, 10, 13, 13, 15, 19, 17, 20, 20, 17, 19, 9, 6, 0]
[Simulation 226] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 227] generations = 0 | descendants = 0 | [1, 0]
[Simulation 228] generations = 0 | descendants = 0 | [1, 0]
[Simulation 229] generations = 6 | descendants = 20 | [1, 4, 4, 6, 3, 2, 1, 0]
[Simulation 230] generations = 39 | descendants = 509 | [1, 2, 3, 5, 9, 8, 7, 5, 10, 16, 22, 22, 28, 28, 26, 28, 19, 17, 27, 25, 17, 10, 16, 19, 14, 17, 13, 11, 11, 6, 8, 14, 13, 12, 3, 2, 5, 4, 5, 2, 0]
[Simulation 231] generations = 4 | descendants = 8 | [1, 2, 3, 2, 1, 0]
[Simulation 232] generations = 0 | descendants = 0 | [1, 0]
[Simulation 233] generations = 0 | descendants = 0 | [1, 0]
[Simulation 234] generations = 0 | descendants = 0 | [1, 0]
[Simulation 235] generations = 4 | descendants = 7 | [1, 2, 2, 2, 1, 0]
[Simulation 236] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 237] generations = 0 | descendants = 0 | [1, 0]
[Simulation 238] generations = 0 | descendants = 0 | [1, 0]
[Simulation 239] generations = 0 | descendants = 0 | [1, 0]
[Simulation 240] generations = 0 | descendants = 0 | [1, 0]
[Simulation 241] generations = 0 | descendants = 0 | [1, 0]
[Simulation 242] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 243] generations = 3 | descendants = 9 | [1, 2, 2, 5, 0]
[Simulation 244] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 245] generations = 0 | descendants = 0 | [1, 0]
[Simulation 246] generations = 0 | descendants = 0 | [1, 0]
[Simulation 247] generations = 0 | descendants = 0 | [1, 0]
[Simulation 248] generations = 0 | descendants = 0 | [1, 0]
[Simulation 249] generations = 16 | descendants = 66 | [1, 4, 3, 4, 7, 5, 5, 5, 2, 7, 7, 4, 3, 4, 1, 4, 1, 0]
[Simulation 250] generations = 0 | descendants = 0 | [1, 0]
[Simulation 251] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 252] generations = 0 | descendants = 0 | [1, 0]
[Simulation 253] generations = 0 | descendants = 0 | [1, 0]
[Simulation 254] generations = 6 | descendants = 17 | [1, 1, 2, 2, 5, 6, 1, 0]
[Simulation 255] generations = 0 | descendants = 0 | [1, 0]
[Simulation 256] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 257] generations = 3 | descendants = 3 | [1, 1, 1, 1, 0]
[Simulation 258] generations = 0 | descendants = 0 | [1, 0]
[Simulation 259] generations = 0 | descendants = 0 | [1, 0]
[Simulation 260] generations = 0 | descendants = 0 | [1, 0]
[Simulation 261] generations = 0 | descendants = 0 | [1, 0]
[Simulation 262] generations = 0 | descendants = 0 | [1, 0]
[Simulation 263] generations = 13 | descendants = 70 | [1, 4, 7, 11, 11, 8, 5, 5, 4, 4, 2, 4, 1, 4, 0]
[Simulation 264] generations = 0 | descendants = 0 | [1, 0]
[Simulation 265] generations = 0 | descendants = 0 | [1, 0]
[Simulation 266] generations = 0 | descendants = 0 | [1, 0]
[Simulation 267] generations = 10 | descendants = 26 | [1, 3, 1, 1, 4, 7, 4, 2, 1, 2, 1, 0]
[Simulation 268] generations = 3 | descendants = 5 | [1, 2, 1, 2, 0]
[Simulation 269] generations = 0 | descendants = 0 | [1, 0]
[Simulation 270] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 271] generations = 0 | descendants = 0 | [1, 0]
[Simulation 272] generations = 0 | descendants = 0 | [1, 0]
[Simulation 273] generations = 0 | descendants = 0 | [1, 0]
[Simulation 274] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 275] generations = 0 | descendants = 0 | [1, 0]
[Simulation 276] generations = 3 | descendants = 4 | [1, 1, 1, 2, 0]
[Simulation 277] generations = 0 | descendants = 0 | [1, 0]
[Simulation 278] generations = 0 | descendants = 0 | [1, 0]
[Simulation 279] generations = 5 | descendants = 23 | [1, 4, 6, 6, 5, 2, 0]
[Simulation 280] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 281] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 282] generations = 0 | descendants = 0 | [1, 0]
[Simulation 283] generations = 4 | descendants = 5 | [1, 1, 2, 1, 1, 0]
[Simulation 284] generations = 0 | descendants = 0 | [1, 0]
[Simulation 285] generations = 0 | descendants = 0 | [1, 0]
[Simulation 286] generations = 4 | descendants = 4 | [1, 1, 1, 1, 1, 0]
[Simulation 287] generations = 0 | descendants = 0 | [1, 0]
[Simulation 288] generations = 0 | descendants = 0 | [1, 0]
[Simulation 289] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 290] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 291] generations = 0 | descendants = 0 | [1, 0]
[Simulation 292] generations = 0 | descendants = 0 | [1, 0]
[Simulation 293] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 294] generations = 0 | descendants = 0 | [1, 0]
[Simulation 295] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 296] generations = 3 | descendants = 3 | [1, 1, 1, 1, 0]
[Simulation 297] generations = 6 | descendants = 12 | [1, 2, 1, 4, 3, 1, 1, 0]
[Simulation 298] generations = 1 | descendants = 3 | [1, 3, 0]
[Simulation 299] generations = 0 | descendants = 0 | [1, 0]
[Simulation 300] generations = 0 | descendants = 0 | [1, 0]
[Simulation 301] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 302] generations = 4 | descendants = 7 | [1, 2, 3, 1, 1, 0]
[Simulation 303] generations = 0 | descendants = 0 | [1, 0]
[Simulation 304] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 305] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 306] generations = 0 | descendants = 0 | [1, 0]
[Simulation 307] generations = 4 | descendants = 21 | [1, 3, 7, 8, 3, 0]
[Simulation 308] generations = 3 | descendants = 6 | [1, 4, 1, 1, 0]
[Simulation 309] generations = 9 | descendants = 37 | [1, 2, 5, 9, 9, 4, 4, 1, 2, 1, 0]
[Simulation 310] generations = 6 | descendants = 11 | [1, 1, 3, 3, 2, 1, 1, 0]
[Simulation 311] generations = 1 | descendants = 4 | [1, 4, 0]
[Simulation 312] generations = 0 | descendants = 0 | [1, 0]
[Simulation 313] generations = 4 | descendants = 9 | [1, 1, 4, 2, 2, 0]
[Simulation 314] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 315] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 316] generations = 0 | descendants = 0 | [1, 0]
[Simulation 317] generations = 4 | descendants = 7 | [1, 2, 2, 2, 1, 0]
[Simulation 318] generations = 0 | descendants = 0 | [1, 0]
[Simulation 319] generations = 3 | descendants = 11 | [1, 3, 7, 1, 0]
[Simulation 320] generations = 0 | descendants = 0 | [1, 0]
[Simulation 321] generations = 3 | descendants = 11 | [1, 4, 5, 2, 0]
[Simulation 322] generations = 18 | descendants = 101 | [1, 3, 6, 6, 11, 6, 9, 10, 10, 6, 3, 3, 3, 6, 6, 5, 4, 2, 2, 0]
[Simulation 323] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 324] generations = 0 | descendants = 0 | [1, 0]
[Simulation 325] generations = 2 | descendants = 5 | [1, 4, 1, 0]
[Simulation 326] generations = 0 | descendants = 0 | [1, 0]
[Simulation 327] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 328] generations = 5 | descendants = 14 | [1, 4, 3, 4, 1, 2, 0]
[Simulation 329] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 330] generations = 2 | descendants = 3 | [1, 1, 2, 0]
[Simulation 331] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 332] generations = 3 | descendants = 3 | [1, 1, 1, 1, 0]
[Simulation 333] generations = 0 | descendants = 0 | [1, 0]
[Simulation 334] generations = 0 | descendants = 0 | [1, 0]
[Simulation 335] generations = 0 | descendants = 0 | [1, 0]
[Simulation 336] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 337] generations = 4 | descendants = 4 | [1, 1, 1, 1, 1, 0]
[Simulation 338] generations = 0 | descendants = 0 | [1, 0]
[Simulation 339] generations = 0 | descendants = 0 | [1, 0]
[Simulation 340] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 341] generations = 2 | descendants = 3 | [1, 1, 2, 0]
[Simulation 342] generations = 0 | descendants = 0 | [1, 0]
[Simulation 343] generations = 0 | descendants = 0 | [1, 0]
[Simulation 344] generations = 7 | descendants = 18 | [1, 4, 1, 3, 3, 1, 2, 4, 0]
[Simulation 345] generations = 16 | descendants = 52 | [1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 4, 6, 9, 10, 6, 1, 3, 0]
[Simulation 346] generations = 0 | descendants = 0 | [1, 0]
[Simulation 347] generations = 0 | descendants = 0 | [1, 0]
[Simulation 348] generations = 9 | descendants = 57 | [1, 1, 4, 10, 10, 12, 9, 6, 4, 1, 0]
[Simulation 349] generations = 0 | descendants = 0 | [1, 0]
[Simulation 350] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 351] generations = 0 | descendants = 0 | [1, 0]
[Simulation 352] generations = 0 | descendants = 0 | [1, 0]
[Simulation 353] generations = 0 | descendants = 0 | [1, 0]
[Simulation 354] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 355] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 356] generations = 0 | descendants = 0 | [1, 0]
[Simulation 357] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 358] generations = 0 | descendants = 0 | [1, 0]
[Simulation 359] generations = 5 | descendants = 11 | [1, 2, 1, 4, 2, 2, 0]
[Simulation 360] generations = 3 | descendants = 6 | [1, 2, 3, 1, 0]
[Simulation 361] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 362] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 363] generations = 0 | descendants = 0 | [1, 0]
[Simulation 364] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 365] generations = 0 | descendants = 0 | [1, 0]
[Simulation 366] generations = 0 | descendants = 0 | [1, 0]
[Simulation 367] generations = 0 | descendants = 0 | [1, 0]
[Simulation 368] generations = 0 | descendants = 0 | [1, 0]
[Simulation 369] generations = 1 | descendants = 1 | [1, 1, 0]
